wiki,rev_id
en,1085848585
en,1085849078
en,1085936865
en,1085936990
en,1085937896
en,1085939331
en,1085942723
en,1085958640
en,1085959344
en,1085968934
en,1085969381
en,1089419395
en,1089420558
en,1089422816
en,1085791831
en,1085794686
en,1085797228
en,1085805761
en,1085806809
en,1085808957
en,1089425450
en,1089424043
en,1085809805
en,1085810834
en,1085811971
en,1085814884
en,1085818504
en,1085825557
en,1085982911
en,1085984563
en,1085987765
en,1086198988
en,1086206363
en,1086207114
en,1086238523
en,1086240173
en,1086242593
en,1086261926
en,1086280223
en,1086281024
en,1086281405
en,1086282431
en,1086283666
en,1089411701
en,1089411007
en,1086192643
en,1086189544
en,1089418442
en,1085993061
en,1089416975
en,1085993948
en,1089417194
en,1085994153
en,1089413087
en,1086149384
en,1086151411
en,1086154588
en,1086155827
en,1086156731
en,1086158869
en,1086168424
en,1086283300
en,1085774420
en,1084948278
en,1085096396
en,1085097848
en,1085098116
en,1085098908
en,1085116567
en,1085117597
en,1085120187
en,1089427763
en,1085121711
en,1085238332
en,1085253152
en,1089427558
en,1089426836
en,1089426867
en,1085095596
en,1085095082
en,1084965294
en,1084981644
en,1084992591
en,1084996320
en,1085000401
en,1085005056
en,1085007006
en,1085028072
en,1085050137
en,1085051293
en,1085051701
en,1085052628
en,1085074144
en,1085094320
en,1089426839
en,1085254356
en,1089425950
en,1085629726
en,1085630372
en,1085636194
en,1085638640
en,1085698829
en,1085700104
en,1089425392
en,1085701316
en,1085702486
en,1085709774
en,1085710807
en,1085725689
en,1085737593
en,1085738087
en,1085628925
en,1085627007
en,1089425635
en,1085255990
en,1085256683
en,1085262089
en,1085262431
en,1085263774
en,1085369257
en,1085410253
en,1085413817
en,1085416175
en,1085417064
en,1085531414
en,1085581165
en,1085585861
en,1085773626
en,1086283924
en,1087392618
en,1087776428
en,1087800737
en,1087815362
en,1087862910
en,1087867396
en,1087868254
en,1087870628
en,1087873574
en,1087874752
en,1087875430
en,1087912781
en,1087912593
en,1087913130
en,1087913767
en,1087775538
en,1087744479
en,1087393330
en,1087407824
en,1087448481
en,1087476813
en,1087499158
en,1087500912
en,1087539436
en,1087540125
